iter	MultiClass
0	0.9900721865
1	0.905952928
2	0.83879706
3	0.783582634
4	0.7385254279
5	0.6996505562
6	0.6666205864
7	0.637890252
8	0.6132142932
9	0.5913400765
10	0.5720425226
11	0.5549874069
12	0.5403731379
13	0.5269215676
14	0.5145978562
15	0.5036450997
16	0.4940983993
17	0.4853633872
18	0.4769005294
19	0.4688770128
20	0.4622641777
21	0.4557918586
22	0.4496589119
23	0.4436007553
24	0.4383761459
25	0.4334246607
26	0.4296103598
27	0.4257311163
28	0.4212680989
29	0.4174656599
30	0.413720815
31	0.4107088769
32	0.4070674328
33	0.4042032474
34	0.4008806967
35	0.3977984074
36	0.39507153
37	0.392814283
38	0.3900624135
39	0.3875583774
40	0.3851439031
41	0.3833727365
42	0.3812112434
43	0.3788600703
44	0.3767804547
45	0.3748395647
46	0.3725317364
47	0.3704910267
48	0.3683620607
49	0.3661956437
50	0.3641678404
51	0.3618021569
52	0.3600624731
53	0.3583917605
54	0.3565830309
55	0.3549389891
56	0.3526841667
57	0.3508595093
58	0.3489415972
59	0.34736634
60	0.3456026711
61	0.3440524807
62	0.3426694026
63	0.3407838686
64	0.3392825063
65	0.3375633758
66	0.3357964244
67	0.3342362371
68	0.3328337994
69	0.3313881661
70	0.3298113422
71	0.3281180992
72	0.3266977192
73	0.3252439168
74	0.3239759522
75	0.3224112141
76	0.3208094353
77	0.3196834416
78	0.318417827
79	0.3170695515
80	0.3155010086
81	0.314081039
82	0.3127227294
83	0.3117959089
84	0.3107017336
85	0.309608062
86	0.3085819253
87	0.3073637214
88	0.3058687378
89	0.305037037
90	0.3038140025
91	0.30277274
92	0.3015813934
93	0.3007970846
94	0.2999168169
95	0.2990027536
96	0.2980275526
97	0.2969445866
98	0.2961180149
99	0.2949675138
100	0.2939288624
101	0.2929941339
102	0.2919591194
103	0.2910345184
104	0.2902574648
105	0.2892873929
106	0.2881581539
107	0.2870915074
108	0.2860850661
109	0.2850976674
110	0.2844538375
111	0.2834955342
112	0.282625338
113	0.2817000655
114	0.2808906713
115	0.2801462382
116	0.2793046897
117	0.2785662436
118	0.2778521369
119	0.2766005479
120	0.2756910914
121	0.2750843954
122	0.2742347898
123	0.2733913949
124	0.2724890444
125	0.2716796875
126	0.2708934577
127	0.2701278745
128	0.2692605132
129	0.2682606929
130	0.2672494584
131	0.2665909315
132	0.2659245152
133	0.2652432715
134	0.2646995783
135	0.2636870942
136	0.2629310789
137	0.2620797387
138	0.2614029525
139	0.260613981
140	0.259958401
141	0.2590943409
142	0.2582150802
143	0.257546743
144	0.2567684958
145	0.2563581567
146	0.2557544076
147	0.2550928033
148	0.2543938039
149	0.253556657
150	0.2528550465
151	0.2522110673
152	0.2515496309
153	0.2508542497
154	0.2501483308
155	0.2493801738
156	0.2483905743
157	0.2473470176
158	0.2467303434
159	0.2462841014
160	0.2456228141
161	0.2449079987
162	0.2442274824
163	0.2436772054
164	0.2429190826
165	0.2423416686
166	0.2415318453
167	0.2408891344
168	0.2400501598
169	0.2395679961
170	0.2390120119
171	0.2384078525
172	0.2378767674
173	0.2371601055
174	0.2366040095
175	0.2359028839
176	0.2353368469
177	0.2347170953
178	0.2341244994
179	0.2332407812
180	0.2326969202
181	0.232013028
182	0.2311143332
183	0.2305165337
184	0.229793773
185	0.228890863
186	0.2282923921
187	0.2277917826
188	0.2272671693
189	0.2266048563
190	0.2260082504
191	0.2254004727
192	0.2246422379
193	0.2240105124
194	0.2235383642
195	0.222983294
196	0.2222973129
197	0.2217418883
198	0.2211472782
199	0.2204955029
200	0.2199657047
201	0.2194709516
202	0.218721147
203	0.2181572176
204	0.2176176463
205	0.2171860266
206	0.2166723987
207	0.2161639745
208	0.2156340457
209	0.2148840547
210	0.2144427737
211	0.213752447
212	0.2131606345
213	0.2125887784
214	0.2119172332
215	0.2113741182
216	0.2108736765
217	0.2103664273
218	0.2097726191
219	0.2091945336
220	0.2085787174
221	0.2081097585
222	0.2076759939
223	0.2071044922
224	0.2067297951
225	0.2062106279
226	0.2055349794
227	0.2050106646
228	0.2045176647
229	0.2040917708
230	0.2035510431
231	0.2029207537
232	0.20239504
233	0.2018591989
234	0.2013397333
235	0.2009880701
236	0.200414666
237	0.2000048119
238	0.1994230709
239	0.1989681002
240	0.1985984015
241	0.1982386811
242	0.1977946585
243	0.197345451
